Comment Date,Comment
"Jun 28, 2018, 5:14:59 PM",Looks like I spoke too soon. Somehow I ended up in 6th place for the lollipop downhill!
"Aug 13, 2018, 8:27:09 PM",Killing it. 
"Aug 13, 2018, 10:49:45 PM",Greg Mortimer not sure. This weekend?
