Following Athlete ID,Follow Status,Created At
8782413,Accepted,"Jun 25, 2018, 12:22:49 AM"
11242473,Accepted,"Jun 25, 2018, 12:38:08 AM"
29745150,Accepted,"Jun 28, 2018, 6:34:23 PM"
3095583,Accepted,"Jun 28, 2018, 6:34:35 PM"
1940945,Accepted,"Jul 4, 2018, 7:44:25 PM"
